ID,Severity,is_severe,split
A-5297655,2,0,train
A-72150,2,0,train
A-280832,2,0,train
A-62136,3,1,test
A-4257106,2,0,test
A-1679820,2,0,train
A-5813453,2,0,train
A-1006374,2,0,train
A-3879911,2,0,train
A-2487235,3,1,test
A-1153726,3,1,train
A-3525795,2,0,train
A-5555862,2,0,train
A-103077,3,1,train
A-6683980,2,0,train
A-2047701,2,0,test
A-518507,1,0,train
A-3830418,2,0,train
A-6038522,2,0,train
A-4916671,2,0,train
A-747559,2,0,train
A-1170882,3,1,train
A-3064030,2,0,test
A-3299931,2,0,train
A-4996266,2,0,train
A-7346214,2,0,train
A-5482315,2,0,train
A-2891014,3,1,train
A-6663019,2,0,train
A-6889017,2,0,train
A-2997525,3,1,train
A-3546132,2,0,train
A-4450989,2,0,train
A-23897,3,1,train
A-5031828,2,0,train
A-6687397,2,0,train
A-2667784,2,0,train
A-2567530,3,1,train
A-1603984,2,0,train
A-2531849,2,0,test
A-1753065,2,0,train
A-2341616,2,0,train
A-3823595,2,0,train
A-7356014,2,0,train
A-7558847,2,0,train
A-3971896,2,0,train
A-1498385,2,0,train
A-79965,3,1,train
A-5108903,2,0,test
A-4130389,2,0,train
A-6350267,2,0,train
A-6974681,2,0,test
A-1627632,2,0,train
A-1549833,2,0,train
A-2985239,2,0,train
A-1196310,2,0,train
A-49500,2,0,test
A-352813,3,1,test
A-2752256,3,1,train
A-4693966,4,1,train
A-6266226,2,0,train
A-7388145,2,0,test
A-4473315,2,0,train
A-5472181,2,0,test
A-6117228,2,0,train
A-3649801,2,0,train
A-5589905,2,0,train
A-6594486,2,0,train
A-2865990,2,0,train
A-3529986,2,0,train
A-5952283,2,0,train
A-6469690,2,0,train
A-1988297,3,1,train
A-5928591,2,0,train
A-1884579,3,1,train
A-7303035,2,0,test
A-4163030,2,0,train
A-4864188,2,0,test
A-7248382,2,0,train
A-24266,3,1,train
A-4598667,2,0,train
A-7370794,2,0,train
A-280283,3,1,train
A-7409199,2,0,train
A-3065545,2,0,train
A-857233,3,1,test
A-7210947,2,0,test
A-2632373,3,1,test
A-2748817,2,0,train
A-3282923,2,0,train
A-2724109,3,1,train
A-2502174,2,0,train
A-5501414,2,0,train
A-289443,2,0,test
A-1410284,2,0,test
A-5849059,2,0,test
A-1427362,2,0,train
A-7136829,2,0,train
A-6625009,2,0,test
A-3278730,3,1,train
A-7054096,2,0,train
A-2866006,3,1,train
A-7769011,3,1,train
A-5561968,2,0,test
A-13930,2,0,train
A-4825603,2,0,test
A-5272091,2,0,train
A-2789248,3,1,train
A-97469,2,0,train
A-4627741,2,0,test
A-3888290,2,0,train
A-3608496,2,0,train
A-306534,2,0,train
A-630180,3,1,train
A-4883737,2,0,train
A-2575006,2,0,train
A-7372228,2,0,train
A-865726,3,1,train
A-4152292,2,0,train
A-6838444,2,0,train
A-4150542,2,0,test
A-3185022,2,0,train
A-4239384,2,0,test
A-2034951,2,0,train
A-7732406,3,1,train
A-4693596,2,0,train
A-5908028,2,0,test
A-318233,2,0,test
A-7073801,2,0,train
A-7623296,2,0,train
A-6942081,2,0,train
A-5815972,2,0,train
A-2560749,2,0,train
A-7254127,2,0,train
A-7511193,2,0,train
A-5790939,2,0,train
A-6065958,2,0,train
A-4425720,2,0,test
A-3196588,3,1,test
A-1344692,2,0,train
A-4769003,2,0,test
A-7474670,2,0,train
A-7400562,2,0,test
A-2571216,2,0,train
A-5688372,2,0,test
A-1387852,2,0,train
A-6586643,2,0,train
A-1062158,3,1,train
A-6900344,2,0,train
A-7151443,3,1,train
A-7678163,2,0,train
A-2982583,2,0,train
A-3638267,3,1,train
A-1500254,2,0,test
A-7309767,2,0,train
A-978738,2,0,train
A-6069239,2,0,train
A-4106941,2,0,train
A-2306203,3,1,test
A-4056547,2,0,test
A-2370310,2,0,train
A-66323,3,1,train
A-3543810,2,0,train
A-7603505,2,0,train
A-6262352,2,0,train
A-6973809,2,0,train
A-3837088,2,0,train
A-83608,2,0,train
A-4211083,2,0,train
A-5322818,2,0,train
A-4171814,2,0,train
A-1196121,2,0,train
A-6196895,2,0,train
A-7662683,3,1,test
A-6020735,2,0,train
A-6187072,2,0,train
A-6806570,2,0,test
A-2207359,2,0,train
A-6865766,2,0,train
A-7402268,2,0,train
A-3362191,2,0,train
A-5262010,2,0,train
A-54504,2,0,train
A-7396940,2,0,train
A-48481,2,0,train
A-2248311,2,0,train
A-4034999,2,0,train
A-5187174,2,0,train
A-2677016,2,0,train
A-7560506,2,0,train
A-783116,3,1,train
A-4170139,2,0,test
A-4220961,2,0,train
A-3964239,2,0,train
A-4119665,2,0,train
A-1528962,3,1,train
A-5038517,2,0,train
A-613393,1,0,train
A-4447754,2,0,train
A-5526550,2,0,train
A-6517496,2,0,test
A-4162175,4,1,train
A-3341013,3,1,train
A-4695359,2,0,train
A-1852456,3,1,test
A-6881118,2,0,train
A-6864100,2,0,train
A-3179152,3,1,train
A-3524296,2,0,train
A-1089328,2,0,train
A-5599187,2,0,train
A-5225999,2,0,train
A-3331635,2,0,train
A-1851926,2,0,train
A-6379761,2,0,test
A-6753853,2,0,train
A-5081195,2,0,train
A-6102317,2,0,train
A-589780,3,1,test
A-3049715,3,1,train
A-5190954,2,0,train
A-4646157,2,0,train
A-6865186,2,0,train
A-7304773,2,0,train
A-2952237,3,1,train
A-6201623,2,0,train
A-6913072,2,0,train
A-681296,3,1,train
A-402324,3,1,train
A-2303709,2,0,train
A-6624717,2,0,train
A-1265275,2,0,train
A-6795170,2,0,train
A-2120853,2,0,train
A-4414696,2,0,train
A-290719,3,1,train
A-654365,2,0,train
A-3394001,2,0,train
A-7339344,2,0,test
A-3033447,3,1,train
A-2654889,2,0,train
A-5924258,2,0,train
A-607653,3,1,train
A-2152620,2,0,train
A-5831954,2,0,train
A-2666978,2,0,test
A-4830327,2,0,train
A-2936527,3,1,train
A-4563306,2,0,test
A-5573814,2,0,test
A-5561743,2,0,test
A-6472420,2,0,train
A-5453027,2,0,test
A-5919022,2,0,train
A-1086355,2,0,train
A-7132864,2,0,test
A-7601594,2,0,train
A-2626208,3,1,train
A-319388,3,1,train
A-5529793,2,0,train
A-2099258,2,0,train
A-7536259,2,0,train
A-5611274,2,0,train
A-389935,2,0,train
A-1582154,2,0,train
A-32309,3,1,train
A-4053100,2,0,train
A-1582372,2,0,test
A-5039669,2,0,train
A-5536364,2,0,train
A-5855141,2,0,test
A-348287,2,0,train
A-4364144,2,0,train
A-2715999,3,1,train
A-6140368,2,0,train
A-7345292,2,0,train
A-403596,3,1,test
A-262887,2,0,train
A-1543526,2,0,train
A-3849306,2,0,train
A-4877671,2,0,test
A-4913743,2,0,train
A-1655230,2,0,train
A-4533790,2,0,train
A-2346145,2,0,test
A-3592013,2,0,train
A-4008908,2,0,train
A-2404582,2,0,train
A-2779068,3,1,train
A-1345418,2,0,train
A-262950,2,0,test
A-7759001,2,0,test
A-7623836,2,0,test
A-343440,2,0,train
A-804810,2,0,train
A-1009146,2,0,train
A-5418062,2,0,train
A-107325,3,1,test
A-1055248,2,0,train
A-59299,3,1,train
A-7749598,2,0,train
A-5050642,2,0,train
A-6724984,2,0,test
A-4807193,2,0,train
A-5266741,2,0,train
A-3656870,2,0,train
A-1659387,2,0,train
A-1199416,3,1,test
A-451347,3,1,train
A-3111108,2,0,train
A-883735,2,0,train
A-3650418,2,0,test
A-1505486,3,1,train
A-1551998,2,0,train
A-5770692,2,0,train
A-7411270,2,0,train
A-2674208,2,0,test
A-1422921,2,0,train
A-6312471,2,0,train
A-6119918,2,0,train
A-5254630,2,0,train
A-6819769,2,0,train
A-27697,3,1,train
A-1418009,2,0,train
A-3202270,2,0,train
A-5405206,2,0,train
A-6831792,2,0,train
A-4498181,2,0,test
A-69231,2,0,train
A-2645924,2,0,test
A-6328725,2,0,train
A-96538,2,0,test
A-1006725,2,0,test
A-785668,2,0,train
A-3704155,2,0,train
A-5730116,2,0,train
A-24244,2,0,train
A-4437756,2,0,test
A-5176460,2,0,train
A-7318719,2,0,train
A-6584061,2,0,train
A-7309495,2,0,train
A-1853149,3,1,train
A-485179,2,0,test
A-2654564,2,0,train
A-1774156,2,0,train
A-3226808,3,1,train
A-4448108,2,0,train
A-6031838,2,0,train
A-7111543,2,0,train
A-1623000,2,0,train
A-1739097,2,0,train
A-7290437,2,0,train
A-7238305,2,0,train
A-1128876,3,1,train
A-334393,2,0,train
A-1268339,2,0,train
A-4127106,2,0,train
A-3847601,2,0,train
A-1164031,2,0,train
A-4629676,2,0,train
A-7331774,2,0,train
A-3404386,2,0,test
A-6186402,2,0,train
A-3918248,2,0,test
A-1199272,3,1,train
A-4354990,2,0,train
A-2122908,2,0,train
A-2626063,2,0,train
A-4891153,2,0,train
A-7237436,2,0,train
A-3127185,2,0,test
A-4949913,2,0,train
A-7358175,2,0,test
A-3206637,2,0,test
A-5014337,2,0,train
A-494629,3,1,train
A-1043299,2,0,train
A-6864646,2,0,train
A-6818509,2,0,train
A-7734058,3,1,train
A-6668503,2,0,train
A-2181292,2,0,train
A-2801659,3,1,train
A-2316513,3,1,train
A-5447120,2,0,train
A-317115,2,0,train
A-3820813,2,0,train
A-3373392,3,1,train
A-6210,3,1,train
A-2748344,2,0,train
A-2225525,2,0,train
A-3403866,2,0,train
A-7128528,2,0,train
A-6749474,2,0,train
A-2192489,2,0,train
A-5286333,2,0,test
A-4930638,2,0,test
A-3188188,3,1,train
A-4183629,2,0,train
A-6817381,2,0,train
A-6557303,2,0,train
A-6684892,2,0,test
A-346780,3,1,train
A-5683814,2,0,train
A-2818206,2,0,train
A-4980912,2,0,train
A-2217176,2,0,train
A-2039511,2,0,train
A-2749136,2,0,train
A-1153109,2,0,train
A-5744840,2,0,test
A-3416024,2,0,train
A-6478070,2,0,train
A-5079303,2,0,train
A-3859309,2,0,train
A-4471160,2,0,test
A-550493,2,0,train
A-4614170,2,0,train
A-2645429,3,1,train
A-7179218,1,0,train
A-2488348,3,1,train
A-452475,3,1,train
A-1174953,3,1,train
A-5609852,2,0,train
A-6956840,2,0,test
A-6514867,2,0,train
A-5686435,2,0,train
A-2641059,3,1,train
A-394412,2,0,train
A-3300677,2,0,train
A-915779,2,0,train
A-3534755,3,1,train
A-1282131,3,1,train
A-4565205,2,0,train
A-6078567,2,0,train
A-346538,3,1,train
A-3270976,3,1,train
A-4612990,2,0,train
A-6255677,2,0,test
A-1917484,3,1,train
A-3403965,2,0,train
A-5859161,2,0,train
A-349654,3,1,train
A-6768740,2,0,train
A-4452466,2,0,train
A-3375650,2,0,train
A-337807,2,0,train
A-3694374,2,0,test
A-5719258,2,0,train
A-5532443,2,0,test
A-452359,2,0,train
A-1422472,2,0,train
A-6955350,2,0,train
A-5428520,2,0,train
A-459360,3,1,train
A-7246480,2,0,train
A-7703188,3,1,train
A-5155294,2,0,train
A-7308063,2,0,test
A-815440,2,0,train
A-441075,3,1,train
A-4956897,2,0,train
A-3423150,2,0,train
A-6047010,2,0,test
A-1965202,2,0,train
A-3912172,2,0,test
A-1164622,2,0,train
A-2072105,3,1,train
A-2322609,2,0,test
A-5664301,2,0,test
A-3955625,2,0,test
A-6766510,2,0,train
A-2932658,2,0,train
A-1289222,2,0,train
A-6489733,2,0,train
A-339067,3,1,test
A-2499518,2,0,train
A-610470,1,0,train
A-1501600,2,0,train
A-6538687,2,0,test
A-1140946,2,0,train
A-4751718,2,0,test
A-7231306,2,0,train
A-6681701,2,0,train
A-990411,2,0,train
A-1342548,3,1,train
A-6870974,2,0,train
A-7586940,2,0,train
A-2614816,2,0,train
A-2615086,3,1,train
A-3183309,3,1,test
A-2749049,3,1,train
A-3196431,2,0,train
A-4653075,2,0,train
A-4030367,2,0,train
A-5396804,2,0,test
A-6075567,2,0,test
A-5928702,2,0,test
A-1400173,3,1,train
A-4525089,2,0,train
A-5748482,2,0,test
A-3737696,2,0,train
A-5881200,2,0,train
A-3566725,3,1,train
A-5655897,2,0,train
A-6692774,2,0,test
A-4122056,2,0,train
A-3285065,2,0,train
A-4701086,2,0,train
A-1710277,2,0,train
A-4947735,2,0,train
A-6081920,2,0,train
A-106984,3,1,train
A-346598,3,1,train
A-2600179,3,1,train
A-5751726,2,0,train
A-4728674,2,0,test
A-3548125,2,0,train
A-2632060,2,0,train
A-7398058,2,0,train
A-391017,3,1,train
A-399499,3,1,train
A-48156,2,0,train
A-7165069,2,0,train
A-5152993,2,0,train
A-5550201,2,0,test
A-567864,3,1,train
A-7175184,2,0,train
A-6935917,2,0,train
A-6539253,2,0,train
A-802291,2,0,test
A-2845300,2,0,train
A-1616899,2,0,test
A-7672709,2,0,train
A-3532184,2,0,train
A-894368,2,0,train
A-6620091,2,0,train
A-4370639,2,0,train
A-1776269,2,0,train
A-7416742,2,0,test
A-3198999,2,0,test
A-3434460,2,0,test
A-3794191,2,0,train
A-2888226,2,0,train
A-7470027,2,0,test
A-6914644,2,0,train
A-3427236,2,0,train
A-5937482,2,0,train
A-5903242,2,0,train
A-2574417,2,0,train
A-7538390,3,1,train
A-3110663,2,0,test
A-4216638,2,0,train
A-4353257,2,0,test
A-267314,3,1,train
A-4512109,2,0,train
A-7336953,2,0,train
A-294684,2,0,train
A-620076,1,0,train
A-3396963,2,0,train
A-4022848,2,0,train
A-3187461,2,0,train
A-72457,3,1,train
A-3537446,2,0,train
A-7090417,2,0,train
A-5387887,2,0,train
A-48606,2,0,train
A-7496559,2,0,train
A-6496148,2,0,train
A-1704735,2,0,train
A-1773659,2,0,train
A-5046719,2,0,train
A-1327190,2,0,test
A-6935909,2,0,train
A-4042398,2,0,train
A-4957548,2,0,train
A-7086274,2,0,train
A-6401054,2,0,test
A-5975989,2,0,train
A-3751739,2,0,train
A-2958165,2,0,train
A-1057106,3,1,test
A-2928177,3,1,train
A-50692,2,0,train
A-7196903,2,0,test
A-2367939,2,0,train
A-4887942,2,0,test
A-5311302,2,0,train
A-6994948,2,0,test
A-5759344,2,0,train
A-7206108,2,0,train
A-4428592,2,0,train
A-5864054,2,0,train
A-509764,2,0,train
A-6248291,2,0,train
A-2325593,3,1,train
A-2263036,2,0,train
A-5437578,2,0,train
A-6835473,2,0,test
A-4671051,2,0,train
A-7594647,2,0,train
A-82399,3,1,train
A-7749337,2,0,test
A-2876441,2,0,train
A-6400146,2,0,train
A-2667734,3,1,train
A-2548763,2,0,train
A-3895723,2,0,test
A-1312953,3,1,train
A-298065,2,0,test
A-6090730,2,0,test
A-1725690,2,0,test
A-4040705,2,0,train
A-4223447,2,0,train
A-749009,3,1,train
A-6090077,2,0,train
A-2665445,2,0,train
A-4916590,2,0,train
A-7313536,2,0,train
A-2755176,2,0,train
A-4539865,2,0,train
A-5774141,2,0,train
A-6848,2,0,test
A-5553895,2,0,train
A-6402443,2,0,train
A-827086,2,0,test
A-59101,2,0,train
A-7157037,4,1,train
A-7729453,3,1,train
A-6893013,2,0,train
A-3608795,2,0,train
A-6147314,2,0,train
A-440146,2,0,test
A-3187978,3,1,train
A-5227590,2,0,train
A-7311980,2,0,test
A-6823165,2,0,train
A-6363956,2,0,train
A-2961001,2,0,train
A-2200277,2,0,train
A-4539379,2,0,train
A-1904741,2,0,test
A-22923,2,0,train
A-791787,3,1,test
A-2813681,3,1,test
A-6286883,2,0,train
A-4029333,2,0,train
A-6980269,2,0,test
A-3279524,2,0,train
A-6862854,2,0,train
A-7355883,2,0,train
A-6500499,2,0,test
A-6917423,2,0,train
A-26193,3,1,test
A-6488339,2,0,train
A-1895353,2,0,train
A-5216000,2,0,train
A-1084756,3,1,train
A-2460794,2,0,train
A-3035814,2,0,train
A-7240073,2,0,train
A-2877184,2,0,train
A-6432153,2,0,train
A-5657797,2,0,train
A-1589330,2,0,train
A-1265385,2,0,test
A-82537,2,0,test
A-6493582,2,0,train
A-272846,3,1,train
A-7029678,3,1,train
A-2177890,2,0,train
A-5294905,2,0,train
A-5169017,2,0,train
A-727310,2,0,test
A-1996037,2,0,train
A-3640500,3,1,train
A-699594,2,0,train
A-2705989,2,0,train
A-5008944,2,0,train
A-6705482,2,0,test
A-4593759,2,0,test
A-7013352,2,0,train
A-103636,3,1,train
A-5944108,2,0,train
A-7697237,2,0,train
A-3544407,2,0,train
A-2587491,2,0,train
A-1663790,2,0,train
A-4359442,2,0,train
A-10923,2,0,train
A-1448256,2,0,train
A-1441517,3,1,train
A-7464466,2,0,train
A-7458421,3,1,test
A-6910722,2,0,train
A-1468911,3,1,train
A-609975,3,1,test
A-391298,2,0,test
A-75020,3,1,train
A-5788067,2,0,test
A-1540001,2,0,train
A-2726397,2,0,train
A-4916790,2,0,train
A-4571125,2,0,train
A-4160151,2,0,test
A-6911872,2,0,test
A-5745618,2,0,train
A-962781,2,0,train
A-2259929,2,0,train
A-5166972,2,0,test
A-5811744,2,0,test
A-5131596,2,0,train
A-3595553,4,1,train
A-2067074,2,0,train
A-7338727,2,0,train
A-6570457,2,0,train
A-2519986,3,1,train
A-7396796,2,0,train
A-5016796,2,0,train
A-6963072,2,0,test
A-54115,3,1,test
A-5700661,2,0,train
A-3335373,3,1,train
A-4402727,2,0,train
A-4897315,2,0,train
A-6078983,2,0,train
A-54989,2,0,test
A-6433766,2,0,train
A-4345178,2,0,train
A-1307550,3,1,train
A-1840238,3,1,train
A-1550948,2,0,train
A-2570175,3,1,test
A-7462121,3,1,train
A-5510238,2,0,train
A-2528148,2,0,test
A-1738730,2,0,train
A-7106800,2,0,test
A-2870622,2,0,train
A-4890024,2,0,train
A-495307,3,1,test
A-4611284,2,0,train
A-5338453,2,0,test
A-2050846,3,1,train
A-5887117,2,0,train
A-337315,2,0,train
A-6288350,2,0,train
A-1846831,2,0,test
A-6435237,2,0,train
A-4625790,2,0,test
A-3218661,2,0,train
A-2632183,3,1,train
A-3950987,2,0,test
A-2186132,3,1,test
A-6951756,2,0,train
A-3565685,2,0,train
A-2567817,3,1,train
A-77284,2,0,train
A-1800531,2,0,train
A-1477933,3,1,train
A-7396549,2,0,train
A-5440526,2,0,train
A-282697,2,0,train
A-5692979,2,0,test
A-6790250,2,0,train
A-6827331,2,0,train
A-6552973,2,0,train
A-6108951,2,0,train
A-7248654,2,0,train
A-3237399,3,1,train
A-1794765,3,1,train
A-7050723,2,0,train
A-46153,2,0,test
A-1331949,2,0,test
A-3156910,2,0,train
A-6305299,2,0,train
A-7624263,2,0,train
A-7250215,4,1,train
A-6930480,2,0,train
A-4174053,2,0,test
A-4582981,2,0,train
A-3838877,2,0,test
A-1852155,2,0,train
A-296839,2,0,train
A-5414381,2,0,train
A-6167133,2,0,train
A-4802364,2,0,test
A-2730592,3,1,train
A-5021733,2,0,train
A-2638943,2,0,test
A-2318847,2,0,train
A-2789330,2,0,train
A-6992029,3,1,train
A-7111560,2,0,train
A-3010352,3,1,train
A-5848501,2,0,test
A-7648881,2,0,train
A-71156,3,1,test
A-5726845,2,0,train
A-4958006,2,0,train
A-7568791,2,0,train
A-2411867,2,0,train
A-3250770,2,0,train
A-2018861,3,1,train
A-2204929,2,0,train
A-4608030,2,0,train
A-113471,3,1,train
A-386743,2,0,train
A-2169576,2,0,train
A-2401757,2,0,test
A-957332,2,0,train
A-7245503,2,0,train
A-7311626,2,0,train
A-7025754,4,1,train
A-3287923,3,1,train
A-7015629,2,0,train
A-4375650,2,0,train
A-4641183,2,0,train
A-4684839,2,0,train
A-1098205,3,1,test
A-7775412,3,1,train
A-4022044,2,0,test
A-2453768,2,0,train
A-2103591,2,0,test
A-2786200,3,1,train
A-6830452,2,0,train
A-1414369,3,1,train
